street,level,median_length,median_delay,median_speed_kmh,total_records,date
N14 Jenderal Sudirman,1,1325,65.5,28.675,10,8/6/2022
N14 Jenderal Sudirman,2,978,62,25.28,7,8/6/2022
N14 Jenderal Sudirman,1,1325,64.5,28.82,4,8/6/2022
N14 Jenderal Sudirman,2,807,76.5,19.09,12,8/6/2022
N14 Jenderal Sudirman,3,506,122,11.15,9,8/6/2022
N14 Jenderal Sudirman,4,225,104,6.46,2,8/6/2022
N14 Jenderal Sudirman,2,1324,75,26.87,2,8/6/2022
N14 Jenderal Sudirman,3,583,87,15.58,9,8/6/2022
N14 Jenderal Sudirman,4,544.5,190.5,8.325,10,8/6/2022
N14 Jenderal Sudirman,1,1325,66,28.64,23,8/6/2022
N14 Jenderal Sudirman,2,1324,73,27.29,13,8/6/2022
N14 Jenderal Sudirman,3,628,90,15.174999,8,8/6/2022
N14 Jenderal Sudirman,2,850,72,21.695,18,8/6/2022
N14 Jenderal Sudirman,1,1325,61,29.474998,12,8/6/2022
N14 Jenderal Sudirman,1,1325,60.5,29.545,6,8/6/2022
N14 Jenderal Sudirman,2,979,84,21.96,35,8/6/2022
N14 Jenderal Sudirman,3,700,85,18.04,1,8/6/2022
N14 Jenderal Sudirman,1,1325,64,28.865,4,8/6/2022
N14 Jenderal Sudirman,2,1325,75.5,26.215,24,8/6/2022
N14 Jenderal Sudirman,1,1325,67,28.34,7,8/6/2022
N14 Jenderal Sudirman,1,1325,70,27.85,11,8/6/2022
N14 Jenderal Sudirman,2,1325,76,26.945,4,8/6/2022
N14 Jenderal Sudirman,3,583,98,14.5,3,8/7/2022
N14 Jenderal Sudirman,2,979,68,24.53,2,8/7/2022
N14 Jenderal Sudirman,2,979,63,25.310001,4,8/7/2022
N14 Jenderal Sudirman,1,1325,71,27.77,1,8/7/2022
N14 Jenderal Sudirman,2,979,62,25.43,8,8/7/2022
N14 Jenderal Sudirman,1,1325,71,27.68,5,8/7/2022
N14 Jenderal Sudirman,2,1325,73,27.31,6,8/7/2022
N14 Jenderal Sudirman,4,346,121.5,8.475,4,8/7/2022
N14 Jenderal Sudirman,1,1325,71,27.79,13,8/7/2022
N14 Jenderal Sudirman,2,979,63.5,25.3,6,8/7/2022
N14 Jenderal Sudirman,2,1324,72,27.04,13,8/7/2022
N14 Jenderal Sudirman,3,506,84,14.56,2,8/7/2022
N14 Jenderal Sudirman,4,225,133,5.255,8,8/7/2022
N14 Jenderal Sudirman,1,1324,65,28.44,3,8/7/2022
N14 Jenderal Sudirman,1,1325,65,28.77,2,8/7/2022
N14 Jenderal Sudirman,2,628,68,17.79,7,8/7/2022
N14 Jenderal Sudirman,2,807,71,20.785,4,8/7/2022
N14 Jenderal Sudirman,1,1325,67,28.45,8,8/7/2022
N14 Jenderal Sudirman,2,836,75,22.02,3,8/7/2022
N14 Jenderal Sudirman,3,700,93.5,16.8,12,8/7/2022
N14 Jenderal Sudirman,1,1324,60,29.44,2,8/7/2022
N14 Jenderal Sudirman,3,699,106,15.53,7,8/8/2022
N14 Jenderal Sudirman,1,1325,70,27.94,9,8/8/2022
N14 Jenderal Sudirman,1,1325,60,29.685,2,8/8/2022
N14 Jenderal Sudirman,1,1182,67,27.65,1,8/8/2022
N14 Jenderal Sudirman,2,1325,102,22.01,21,8/8/2022
N14 Jenderal Sudirman,2,979,77.5,22.935,8,8/8/2022
N14 Jenderal Sudirman,2,978,67,24.29,19,8/8/2022
N14 Jenderal Sudirman,2,628,82,16.02,2,8/8/2022
N14 Jenderal Sudirman,3,628,84.5,15.65,8,8/8/2022
N14 Jenderal Sudirman,1,1325,64,28.895,4,8/8/2022
N14 Jenderal Sudirman,2,1325,82,25.92,9,8/8/2022
N14 Jenderal Sudirman,3,396,108.5,10.235001,6,8/8/2022
N14 Jenderal Sudirman,1,1325,69,28.05,7,8/8/2022
N14 Jenderal Sudirman,3,396,106,10.59,6,8/8/2022
N14 Jenderal Sudirman,1,1325,60,29.62,3,8/8/2022
N14 Jenderal Sudirman,1,1182,66,27.84,1,8/9/2022
N14 Jenderal Sudirman,2,1325,80,26.35,9,8/9/2022
N14 Jenderal Sudirman,2,979,61,25.22,6,8/9/2022
N14 Jenderal Sudirman,3,700,96,16.47,17,8/9/2022
N14 Jenderal Sudirman,1,1100,62,27.75,5,8/9/2022
N14 Jenderal Sudirman,2,1100,65,27.26,5,8/9/2022
N14 Jenderal Sudirman,2,1325,81.5,25.72,10,8/9/2022
N14 Jenderal Sudirman,1,1324,63.5,28.755001,14,8/9/2022
N14 Jenderal Sudirman,2,1325,80,25.81,5,8/9/2022
N14 Jenderal Sudirman,1,1324,60,29.380001,4,8/9/2022
N14 Jenderal Sudirman,3,700,85,17.58,9,8/9/2022
N14 Jenderal Sudirman,3,506,111,11.77,9,8/10/2022
N14 Jenderal Sudirman,1,1182,67,27.57,1,8/10/2022
N14 Jenderal Sudirman,2,1325,106,22.63,11,8/10/2022
N14 Jenderal Sudirman,2,1325,104,22.970001,2,8/10/2022
N14 Jenderal Sudirman,2,1325,101.5,23.11,8,8/10/2022
N14 Jenderal Sudirman,2,700,63,20.93,1,8/10/2022
N14 Jenderal Sudirman,2,1325,75,26.66,1,8/10/2022
N14 Jenderal Sudirman,1,1325,68,27.79,7,8/10/2022
N14 Jenderal Sudirman,2,1325,75,26.75,23,8/10/2022
N14 Jenderal Sudirman,1,1324,64.5,28.555,4,8/10/2022
N14 Jenderal Sudirman,2,807,74,19.385,8,8/10/2022
N14 Jenderal Sudirman,2,807,81,18.52,7,8/10/2022
N14 Jenderal Sudirman,3,380,93.5,10.82,6,8/10/2022
N14 Jenderal Sudirman,1,1325,62.5,28.725,8,8/10/2022
N14 Jenderal Sudirman,2,866,83.5,19.005001,10,8/10/2022
N14 Jenderal Sudirman,2,979,61,25.21,5,8/10/2022
N14 Jenderal Sudirman,4,346,129,8.09,11,8/11/2022
N14 Jenderal Sudirman,3,1325,157,18.33,1,8/11/2022
N14 Jenderal Sudirman,1,1324,62,29,5,8/11/2022
N14 Jenderal Sudirman,1,1324,61.5,29.115,4,8/11/2022
N14 Jenderal Sudirman,2,1325,85.5,25.17,12,8/11/2022
N14 Jenderal Sudirman,3,700,194,10.46,13,8/11/2022
N14 Jenderal Sudirman,1,1324,72,27.33,9,8/11/2022
N14 Jenderal Sudirman,1,1325,66,28.05,3,8/11/2022
N14 Jenderal Sudirman,2,1325,75.5,26.675,6,8/11/2022
N14 Jenderal Sudirman,2,979,88,21.1,23,8/11/2022
N14 Jenderal Sudirman,1,1325,60,29.15,8,8/11/2022
N14 Jenderal Sudirman,1,1325,65,28.23,11,8/11/2022
N14 Jenderal Sudirman,2,1324,118,21.68,4,8/12/2022
N14 Jenderal Sudirman,3,742,114.5,15.74,4,8/12/2022
N14 Jenderal Sudirman,2,1325,87,24.97,3,8/12/2022
N14 Jenderal Sudirman,2,1325,85,25.24,9,8/12/2022
N14 Jenderal Sudirman,1,1325,68,27.77,6,8/12/2022
N14 Jenderal Sudirman,2,807,70,20.89,13,8/12/2022
N14 Jenderal Sudirman,2,807,65,20.96,26,8/12/2022
N14 Jenderal Sudirman,1,1324,67,28.18,7,8/12/2022
N14 Jenderal Sudirman,2,700,80,18.39,3,8/12/2022
N14 Jenderal Sudirman,1,1325,60,29.185,4,8/12/2022
N14 Jenderal Sudirman,3,700,83,17.97,7,8/12/2022
N14 Jenderal Sudirman,2,1325,96,23.845001,22,8/12/2022
N14 Jenderal Sudirman,1,1324,69,27.85,11,8/12/2022
N14 Jenderal Sudirman,1,1324,60,29.21,7,8/12/2022
N14 Jenderal Sudirman,2,979,89,20.97,2,8/12/2022
N14 Jenderal Sudirman,2,979,87,21.22,7,8/12/2022
N14 Jenderal Sudirman,1,1325,66.5,28.075,8,8/13/2022
N14 Jenderal Sudirman,3,583,79,16.42,2,8/13/2022
N14 Jenderal Sudirman,2,1324,80,25.244999,22,8/13/2022
N14 Jenderal Sudirman,2,628,61,18.82,1,8/13/2022
N14 Jenderal Sudirman,1,1325,65,28.37,4,8/13/2022
N14 Jenderal Sudirman,2,1325,76,26.095001,8,8/13/2022
N14 Jenderal Sudirman,1,1325,62,28.779999,4,8/13/2022
N14 Jenderal Sudirman,2,1325,72,27.14,5,8/13/2022
N14 Jenderal Sudirman,1,1324,64,28.635,14,8/13/2022
N14 Jenderal Sudirman,2,1325,81,24.85,43,8/13/2022
N14 Jenderal Sudirman,3,506,131,10.405001,6,8/13/2022
N14 Jenderal Sudirman,4,225,123,5.49,2,8/13/2022
N14 Jenderal Sudirman,1,1324.5,68.5,27.74,14,8/13/2022
N14 Jenderal Sudirman,2,1325,78,25.81,9,8/13/2022
N14 Jenderal Sudirman,3,866,193,11.32,5,8/13/2022
N14 Jenderal Sudirman,2,700,73,19.535,22,8/13/2022
N14 Jenderal Sudirman,2,866,85,18.74,11,8/13/2022
N14 Jenderal Sudirman,1,1325,62,28.8,4,8/13/2022
N14 Jenderal Sudirman,2,1182,71,26.73,3,8/13/2022
N14 Jenderal Sudirman,3,807,129.5,14.549999,8,8/13/2022
N14 Jenderal Sudirman,3,807,127,14.74,3,8/13/2022
N14 Jenderal Sudirman,1,1325,63,28.69,2,8/14/2022
N14 Jenderal Sudirman,2,1325,72,27.12,7,8/14/2022
N14 Jenderal Sudirman,1,1182,62.5,28.009998,4,8/14/2022
N14 Jenderal Sudirman,2,866,64,21.51,5,8/14/2022
N14 Jenderal Sudirman,2,1325,71,27.38,1,8/14/2022
N14 Jenderal Sudirman,1,1325,68,27.86,3,8/14/2022
N14 Jenderal Sudirman,2,1325,82,25.76,7,8/14/2022
N14 Jenderal Sudirman,2,1325,146,19.095001,8,8/14/2022
N14 Jenderal Sudirman,3,506,111,11.73,1,8/14/2022
N14 Jenderal Sudirman,2,1325,111.5,22.195,8,8/14/2022
N14 Jenderal Sudirman,1,1325,60,29.12,5,8/14/2022
N14 Jenderal Sudirman,2,1325,107,22.61,3,8/14/2022
N14 Jenderal Sudirman,1,1324,77.5,26.485,10,8/15/2022
N14 Jenderal Sudirman,3,506,88,13.8,3,8/15/2022
N14 Jenderal Sudirman,4,225,110,6.035,2,8/15/2022
N14 Jenderal Sudirman,1,1325,68,27.73,1,8/15/2022
N14 Jenderal Sudirman,2,1325,85,25.21,9,8/15/2022
N14 Jenderal Sudirman,2,979,92,20.6,3,8/15/2022
N14 Jenderal Sudirman,3,700,82,18.02,7,8/15/2022
N14 Jenderal Sudirman,2,979,69,23.7,15,8/15/2022
N14 Jenderal Sudirman,2,1324,84,25.05,13,8/15/2022
N14 Jenderal Sudirman,2,700,63,20.99,5,8/15/2022
N14 Jenderal Sudirman,2,836,79,21.24,9,8/16/2022
N14 Jenderal Sudirman,2,700,75,19.27,12,8/16/2022
N14 Jenderal Sudirman,3,1325,172,17.31,9,8/16/2022
N14 Jenderal Sudirman,1,1325,63,28.665,2,8/16/2022
N14 Jenderal Sudirman,2,580,74,16.63,18,8/16/2022
N14 Jenderal Sudirman,2,979,91,20.73,11,8/16/2022
N14 Jenderal Sudirman,1,1325,62,28.85,11,8/17/2022
N14 Jenderal Sudirman,2,1325,82,25.720001,2,8/17/2022
N14 Jenderal Sudirman,4,380,150.5,7.2200003,10,8/17/2022
N14 Jenderal Sudirman,1,1325,60,29.2,3,8/18/2022
N14 Jenderal Sudirman,1,1182,63,28.29,1,8/18/2022
N14 Jenderal Sudirman,2,1325,73,26.855,6,8/18/2022
N14 Jenderal Sudirman,1,1182,61,28.64,9,8/18/2022
N14 Jenderal Sudirman,2,1325,110.5,22.285,2,8/18/2022
N14 Jenderal Sudirman,2,866,62,22.46,14,8/18/2022
N14 Jenderal Sudirman,1,1325,66,28.05,13,8/18/2022
N14 Jenderal Sudirman,1,1325,60,29.21,4,8/18/2022
N14 Jenderal Sudirman,2,1324,89,24.7,17,8/18/2022
N14 Jenderal Sudirman,2,700,72,19.47,14,8/19/2022
N14 Jenderal Sudirman,3,583,76,16.73,2,8/19/2022
N14 Jenderal Sudirman,2,1325,79,25.89,5,8/19/2022
N14 Jenderal Sudirman,1,1100,61,27.985,8,8/19/2022
N14 Jenderal Sudirman,2,807,89,17.64,3,8/19/2022
N14 Jenderal Sudirman,2,807,82,19.05,2,8/19/2022
N14 Jenderal Sudirman,4,227,101,6.73,4,8/19/2022
N14 Jenderal Sudirman,2,866,72,20.39,14,8/19/2022
N14 Jenderal Sudirman,2,1325,140,19.605,12,8/19/2022
N14 Jenderal Sudirman,3,506,86,14.04,3,8/19/2022
N14 Jenderal Sudirman,2,1325,88,24.45,12,8/19/2022
N14 Jenderal Sudirman,1,1324,77,26.56,9,8/19/2022
N14 Jenderal Sudirman,2,1324,84,25.59,5,8/19/2022
N14 Jenderal Sudirman,1,1324,69,27.9,9,8/19/2022
N14 Jenderal Sudirman,2,866,82,24.11,18,8/19/2022
N14 Jenderal Sudirman,1,1325,64,28.445,4,8/19/2022
N14 Jenderal Sudirman,1,1325,63,28.56,3,8/19/2022
N14 Jenderal Sudirman,3,700,109,15.17,3,8/20/2022
N14 Jenderal Sudirman,3,700,105.5,15.31,8,8/20/2022
N14 Jenderal Sudirman,2,639,62,18.65,3,8/20/2022
N14 Jenderal Sudirman,1,1325,62,28.805,4,8/20/2022
N14 Jenderal Sudirman,3,506,79,14.8,3,8/20/2022
N14 Jenderal Sudirman,2,979,66,23.51,26,8/20/2022
N14 Jenderal Sudirman,3,583,77,16.61,3,8/20/2022
N14 Jenderal Sudirman,2,1325,82,25.7,4,8/20/2022
N14 Jenderal Sudirman,2,807,78,21.3,11,8/20/2022
N14 Jenderal Sudirman,3,628,97,14.47,9,8/20/2022
N14 Jenderal Sudirman,1,1325,63,28.69,2,8/20/2022
N14 Jenderal Sudirman,2,807,75,19.26,11,8/20/2022
N14 Jenderal Sudirman,3,628,115,12.97,28,8/20/2022
N14 Jenderal Sudirman,4,628,240,6.41,11,8/20/2022
N14 Jenderal Sudirman,2,628,72,17.2,6,8/20/2022
N14 Jenderal Sudirman,3,807,143,12.219999,8,8/20/2022
N14 Jenderal Sudirman,1,1324,69,27.65,10,8/20/2022
N14 Jenderal Sudirman,2,628,72,17.125,32,8/20/2022
N14 Jenderal Sudirman,3,401,95,11.08,17,8/20/2022
N14 Jenderal Sudirman,1,1324,66.5,28.09,12,8/20/2022
N14 Jenderal Sudirman,2,580,83,15.04,2,8/20/2022
N14 Jenderal Sudirman,3,700,96,16.42,15,8/20/2022
N14 Jenderal Sudirman,1,1141,63.5,27.885,6,8/20/2022
N14 Jenderal Sudirman,2,1324,89,24.75,16,8/20/2022
N14 Jenderal Sudirman,3,583,74,17,2,8/20/2022
N14 Jenderal Sudirman,2,979,61.5,25.060001,6,8/20/2022
N14 Jenderal Sudirman,2,639,63,18.41,1,8/20/2022
N14 Jenderal Sudirman,1,1325,68,27.85,1,8/20/2022
N14 Jenderal Sudirman,2,1325,75,26.67,3,8/20/2022
N14 Jenderal Sudirman,1,1325,64,28.46,3,8/21/2022
N14 Jenderal Sudirman,1,1325,63,28.630001,4,8/21/2022
N14 Jenderal Sudirman,3,700,110.5,15.345,2,8/21/2022
N14 Jenderal Sudirman,3,700,135,13.1,9,8/21/2022
N14 Jenderal Sudirman,2,976.5,73,21.990002,4,8/21/2022
N14 Jenderal Sudirman,2,628,68,17.8,3,8/21/2022
N14 Jenderal Sudirman,3,506,91,13.47,1,8/21/2022
N14 Jenderal Sudirman,2,1325,117,21.44,9,8/21/2022
N14 Jenderal Sudirman,1,1182,60,28.755001,2,8/21/2022
N14 Jenderal Sudirman,2,1182,82.5,24.75,18,8/21/2022
N14 Jenderal Sudirman,2,1182,72,26.345001,6,8/21/2022
N14 Jenderal Sudirman,1,1325,67.5,27.875,8,8/22/2022
N14 Jenderal Sudirman,2,628,77,17.1,9,8/22/2022
N14 Jenderal Sudirman,3,807,142,12.32,7,8/22/2022
N14 Jenderal Sudirman,4,227,116,6.02,1,8/22/2022
N14 Jenderal Sudirman,2,700,66,20.34,5,8/22/2022
N14 Jenderal Sudirman,2,700,69,19.91,9,8/22/2022
N14 Jenderal Sudirman,2,979,94.5,20.32,6,8/22/2022
N14 Jenderal Sudirman,3,979,148.5,15.49,12,8/22/2022
N14 Jenderal Sudirman,2,700,68,20.105,6,8/22/2022
N14 Jenderal Sudirman,2,866,61.5,21.849998,8,8/22/2022
N14 Jenderal Sudirman,2,978,70,24.225,20,8/22/2022
N14 Jenderal Sudirman,3,583,148,10.65,1,8/23/2022
N14 Jenderal Sudirman,3,583,144.5,10.77,10,8/23/2022
N14 Jenderal Sudirman,2,628,66,18.08,9,8/23/2022
N14 Jenderal Sudirman,2,1325,109,22.4,6,8/23/2022
N14 Jenderal Sudirman,3,700,95,16.51,3,8/23/2022
N14 Jenderal Sudirman,2,979,95,23.53,9,8/23/2022
N14 Jenderal Sudirman,2,1325,80.5,25.939999,12,8/23/2022
N14 Jenderal Sudirman,1,1325,70,27.55,2,8/24/2022
N14 Jenderal Sudirman,2,1325,72,27.13,6,8/24/2022
N14 Jenderal Sudirman,1,1325,62,28.74,11,8/24/2022
N14 Jenderal Sudirman,2,1325,103.5,23.045,2,8/24/2022
N14 Jenderal Sudirman,1,1325,62,28.75,7,8/24/2022
N14 Jenderal Sudirman,2,1325,75,26.720001,8,8/24/2022
N14 Jenderal Sudirman,1,1182,66,27.66,1,8/24/2022
N14 Jenderal Sudirman,2,1325,76,26.6,13,8/24/2022
N14 Jenderal Sudirman,3,505,81,14.72,9,8/24/2022
N14 Jenderal Sudirman,1,1324,69,27.650002,4,8/24/2022
N14 Jenderal Sudirman,2,1325,72.5,27.09,2,8/24/2022
N14 Jenderal Sudirman,2,807,72,20.23,1,8/25/2022
N14 Jenderal Sudirman,1,1324,68,27.67,13,8/25/2022
N14 Jenderal Sudirman,2,1325,85,25.24,10,8/25/2022
N14 Jenderal Sudirman,3,628,143,11.16,9,8/25/2022
N14 Jenderal Sudirman,2,639,63,18.92,6,8/25/2022
N14 Jenderal Sudirman,3,628,118,12.68,15,8/25/2022
N14 Jenderal Sudirman,2,628,63,18.54,9,8/25/2022
N14 Jenderal Sudirman,2,979,103,19.38,9,8/25/2022
N14 Jenderal Sudirman,2,979,99,19.81,1,8/25/2022
N14 Jenderal Sudirman,1,1324,61,28.96,5,8/25/2022
N14 Jenderal Sudirman,3,506,127,10.63,11,8/26/2022
N14 Jenderal Sudirman,1,1182,66,27.98,11,8/26/2022
N14 Jenderal Sudirman,2,663,68,18.25,3,8/26/2022
N14 Jenderal Sudirman,3,580,95,13.91,2,8/26/2022
N14 Jenderal Sudirman,1,1325,66,28.34,1,8/26/2022
N14 Jenderal Sudirman,2,1325,101.5,23.645,6,8/26/2022
N14 Jenderal Sudirman,3,700,107,15.34,4,8/26/2022
N14 Jenderal Sudirman,2,1325,99,23.565,16,8/26/2022
N14 Jenderal Sudirman,1,1325,64,28.72,4,8/26/2022
N14 Jenderal Sudirman,2,1325,94,24.15,11,8/26/2022
N14 Jenderal Sudirman,3,807,124,14.56,14,8/26/2022
N14 Jenderal Sudirman,2,978,82.5,25.75,12,8/26/2022
N14 Jenderal Sudirman,1,1324,61,29.7,8,8/26/2022
N14 Jenderal Sudirman,1,1100,63,28.43,17,8/26/2022
N14 Jenderal Sudirman,1,1325,66.5,28.32,8,8/26/2022
N14 Jenderal Sudirman,4,153,108,4.31,11,8/26/2022
N14 Jenderal Sudirman,2,979,73,23.185,8,8/27/2022
N14 Jenderal Sudirman,2,979,70.5,23.585,2,8/27/2022
N14 Jenderal Sudirman,2,866,89.5,19.485,14,8/27/2022
N14 Jenderal Sudirman,2,1325,95,23.86,15,8/27/2022
N14 Jenderal Sudirman,1,1324,66,28.76,10,8/27/2022
N14 Jenderal Sudirman,2,663,65,18.89,21,8/27/2022
N14 Jenderal Sudirman,3,583,100,14.15,11,8/27/2022
N14 Jenderal Sudirman,4,583,182,9.08,3,8/27/2022
N14 Jenderal Sudirman,3,628,149,12.58,18,8/27/2022
N14 Jenderal Sudirman,1,1324.5,64,29.165,4,8/27/2022
N14 Jenderal Sudirman,2,807,97,17.3,29,8/27/2022
N14 Jenderal Sudirman,3,663,144,12.64,9,8/27/2022
N14 Jenderal Sudirman,1,1324,63,29.349998,8,8/27/2022
N14 Jenderal Sudirman,1,1325,68,27.95,13,8/27/2022
N14 Jenderal Sudirman,2,1324,76.5,26.705,32,8/27/2022
N14 Jenderal Sudirman,3,583,94.5,14.59,6,8/27/2022
N14 Jenderal Sudirman,1,1324,65,29.06,19,8/27/2022
N14 Jenderal Sudirman,2,807,94,17.24,5,8/27/2022
N14 Jenderal Sudirman,1,1325,64,28.8,2,8/27/2022
N14 Jenderal Sudirman,2,1325,79,26.39,11,8/27/2022
N14 Jenderal Sudirman,1,1253,61,29.279999,2,8/27/2022
N14 Jenderal Sudirman,1,1325,70,27.72,1,8/27/2022
N14 Jenderal Sudirman,2,1325,85.5,25.46,8,8/27/2022
N14 Jenderal Sudirman,2,663,82,16.41,1,8/28/2022
N14 Jenderal Sudirman,3,484,77.5,13.84,2,8/28/2022
N14 Jenderal Sudirman,3,484,76,13.98,7,8/28/2022
N14 Jenderal Sudirman,1,1325,63,28.91,15,8/28/2022
N14 Jenderal Sudirman,3,628,96,15.24,1,8/28/2022
N14 Jenderal Sudirman,1,1325,69,27.87,1,8/28/2022
N14 Jenderal Sudirman,2,1325,84,25.63,18,8/28/2022
N14 Jenderal Sudirman,1,1324,67,28.705,6,8/28/2022
N14 Jenderal Sudirman,2,866,79,19.7,2,8/28/2022
N14 Jenderal Sudirman,1,1324,64,29.26,7,8/28/2022
N14 Jenderal Sudirman,3,625,85.5,17.259998,10,8/28/2022
N14 Jenderal Sudirman,1,1324,72.5,27.68,2,8/29/2022
N14 Jenderal Sudirman,2,1324,75,27.29,5,8/29/2022
N14 Jenderal Sudirman,3,506,79,14.81,9,8/29/2022
N14 Jenderal Sudirman,2,1325,82,25.86,1,8/29/2022
N14 Jenderal Sudirman,2,807,86.5,18.025,12,8/29/2022
N14 Jenderal Sudirman,1,1325,68,28.01,2,8/29/2022
N14 Jenderal Sudirman,2,639,83,16.045,2,8/29/2022
N14 Jenderal Sudirman,1,1325,68,28.04,2,8/29/2022
N14 Jenderal Sudirman,2,1253.5,109,22.2,2,8/29/2022
N14 Jenderal Sudirman,3,1325,207.5,15.36,12,8/29/2022
N14 Jenderal Sudirman,3,1325,166,17.81,2,8/29/2022
N14 Jenderal Sudirman,2,1325,89,24.8,11,8/29/2022
N14 Jenderal Sudirman,4,225,101.5,6.46,4,8/29/2022
N14 Jenderal Sudirman,2,1325,85,25.54,13,8/29/2022
N14 Jenderal Sudirman,1,1324,61,29.71,1,8/29/2022
N14 Jenderal Sudirman,2,1325,80,24.615,10,8/29/2022
N14 Jenderal Sudirman,2,1152,83,23.779999,4,8/29/2022
N14 Jenderal Sudirman,2,1325,75.5,26.91,10,8/29/2022
N14 Jenderal Sudirman,3,583,73,17.2,1,8/29/2022
N14 Jenderal Sudirman,2,628,80,16.24,1,8/29/2022
N14 Jenderal Sudirman,3,625,107.5,14.73,10,8/29/2022
N14 Jenderal Sudirman,2,979,75,22.89,9,8/30/2022
N14 Jenderal Sudirman,1,1325,65,28.54,16,8/30/2022
N14 Jenderal Sudirman,2,1325,72.5,27.325,12,8/30/2022
N14 Jenderal Sudirman,3,1325,158,18.33,1,8/30/2022
N14 Jenderal Sudirman,1,1324,66,28.86,1,8/30/2022
N14 Jenderal Sudirman,1,1325,68,28.15,13,8/30/2022
N14 Jenderal Sudirman,2,1325,72.5,27.32,2,8/30/2022
N14 Jenderal Sudirman,1,1325,70,27.79,1,8/30/2022
N14 Jenderal Sudirman,1,1324,61,29.74,6,8/30/2022
N14 Jenderal Sudirman,2,1324,76,27.12,2,8/30/2022
N14 Jenderal Sudirman,2,1325,78.5,26.435,4,8/31/2022
N14 Jenderal Sudirman,3,700,86,17.5,6,8/31/2022
N14 Jenderal Sudirman,1,1324,63,28.95,1,8/31/2022
N14 Jenderal Sudirman,2,866,60,23.42,5,8/31/2022
N14 Jenderal Sudirman,3,583,86,15.59,13,8/31/2022
N14 Jenderal Sudirman,1,1325,70,27.69,3,8/31/2022
N14 Jenderal Sudirman,2,807,73.5,19.8,8,8/31/2022
N14 Jenderal Sudirman,1,1182,65,28.18,1,8/31/2022
N14 Jenderal Sudirman,2,1325,78,26.44,11,8/31/2022
N14 Jenderal Sudirman,2,1324,85.5,25.48,10,8/31/2022
N14 Jenderal Sudirman,3,580,111,12.73,9,8/31/2022
N14 Jenderal Sudirman,2,1325,128,20.74,19,8/31/2022
N14 Jenderal Sudirman,2,979,102,19.52,1,8/31/2022
N14 Jenderal Sudirman,2,1325,77,26.58,9,9/1/2022
N14 Jenderal Sudirman,1,1182,68,27.63,1,9/1/2022
N14 Jenderal Sudirman,2,1325,79,26.21,9,9/1/2022
N14 Jenderal Sudirman,3,866,214,10.69,18,9/1/2022
N14 Jenderal Sudirman,4,227,136,5.27,3,9/1/2022
N14 Jenderal Sudirman,1,1325,66.5,28.295,14,9/1/2022
N14 Jenderal Sudirman,2,628,75,17.93,14,9/1/2022
N14 Jenderal Sudirman,2,700,68,20.12,11,9/1/2022
N14 Jenderal Sudirman,2,1182,118,20.86,8,9/1/2022
N14 Jenderal Sudirman,3,557,98,14.4,1,9/1/2022
N14 Jenderal Sudirman,1,1182,62,28.779999,2,9/1/2022
N14 Jenderal Sudirman,2,1325,90,24.56,9,9/1/2022
N14 Jenderal Sudirman,3,583,108,13.39,7,9/1/2022
N14 Jenderal Sudirman,2,1324,75,26.96,13,9/1/2022
N14 Jenderal Sudirman,4,307,146,6.39,5,9/1/2022
N14 Jenderal Sudirman,3,307,101,8.65,1,9/1/2022
N14 Jenderal Sudirman,2,978,97,20.03,9,9/2/2022
N14 Jenderal Sudirman,2,628,81,18.26,24,9/2/2022
N14 Jenderal Sudirman,3,663,106,14.15,5,9/2/2022
N14 Jenderal Sudirman,1,1324,69,27.95,19,9/2/2022
N14 Jenderal Sudirman,2,1325,73,27.22,12,9/2/2022
N14 Jenderal Sudirman,3,484,73,14.51,4,9/2/2022
N14 Jenderal Sudirman,1,1324,63,28.99,14,9/2/2022
N14 Jenderal Sudirman,2,1324,97,23.805,22,9/2/2022
N14 Jenderal Sudirman,3,628,142,11.25,1,9/2/2022
N14 Jenderal Sudirman,2,580,70.5,16.87,6,9/2/2022
N14 Jenderal Sudirman,1,1324,67,28.15,13,9/2/2022
N14 Jenderal Sudirman,2,1325,143,19.13,17,9/2/2022
N14 Jenderal Sudirman,1,1324,63.5,28.795,12,9/2/2022
N14 Jenderal Sudirman,3,583,76,16.77,5,9/2/2022
N14 Jenderal Sudirman,2,663,74,17.51,5,9/3/2022
N14 Jenderal Sudirman,3,663,118,13.19,1,9/3/2022
N14 Jenderal Sudirman,2,1039,84.5,22.029999,20,9/3/2022
N14 Jenderal Sudirman,1,1182,63,28.5,1,9/3/2022
N14 Jenderal Sudirman,2,866,92,19.13,11,9/3/2022
N14 Jenderal Sudirman,3,700,132,13.58,17,9/3/2022
N14 Jenderal Sudirman,1,1182,63,28.5,4,9/3/2022
N14 Jenderal Sudirman,2,1325,80,26.16,13,9/3/2022
N14 Jenderal Sudirman,3,401,82,11.85,7,9/3/2022
N14 Jenderal Sudirman,1,1325,62,29.06,2,9/3/2022
N14 Jenderal Sudirman,2,807,83,17.9,5,9/3/2022
N14 Jenderal Sudirman,3,639,160,11.18,9,9/3/2022
N14 Jenderal Sudirman,1,1325,67,28.31,12,9/3/2022
N14 Jenderal Sudirman,2,1325,143,19.47,2,9/3/2022
N14 Jenderal Sudirman,3,1325,164,16.15,9,9/3/2022
N14 Jenderal Sudirman,4,225,157,4.52,9,9/3/2022
N14 Jenderal Sudirman,1,1324,65,28.49,2,9/3/2022
