street,type,date,total_records
Tol Palimanan-Kanci,ACCIDENT,9/2/2022,60
Tol Palimanan-Kanci,ACCIDENT,9/2/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,7/7/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,7/7/2022,103
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,21
Tol Palimanan-Kanci,ACCIDENT,9/2/2022,43
Tol Palimanan-Kanci,JAM,8/11/2022,5
Tol Palimanan-Kanci,JAM,7/12/2022,3
Tol Palimanan-Kanci,WEATHERHAZARD,7/14/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,7/28/2022,31
Tol Palimanan-Kanci,ACCIDENT,8/24/2022,12
Tol Palimanan-Kanci,WEATHERHAZARD,8/13/2022,59
Tol Palimanan-Kanci,WEATHERHAZARD,8/25/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/25/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/25/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/25/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/25/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/25/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/25/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/25/2022,20
Tol Palimanan-Kanci,WEATHERHAZARD,8/25/2022,3
Tol Palimanan-Kanci,WEATHERHAZARD,8/4/2022,112
Tol Palimanan-Kanci,WEATHERHAZARD,8/5/2022,59
Tol Palimanan-Kanci,JAM,9/2/2022,24
Tol Palimanan-Kanci,JAM,8/3/2022,2
Tol Palimanan-Kanci,WEATHERHAZARD,8/9/2022,58
Tol Palimanan-Kanci,WEATHERHAZARD,8/9/2022,35
Tol Palimanan-Kanci,WEATHERHAZARD,7/7/2022,61
Tol Palimanan-Kanci,JAM,9/3/2022,5
Tol Palimanan-Kanci,WEATHERHAZARD,7/28/2022,35
Tol Palimanan-Kanci,WEATHERHAZARD,8/4/2022,118
Tol Palimanan-Kanci,WEATHERHAZARD,8/5/2022,10
Tol Palimanan-Kanci,WEATHERHAZARD,7/12/2022,61
Tol Palimanan-Kanci,WEATHERHAZARD,8/4/2022,86
Tol Palimanan-Kanci,WEATHERHAZARD,8/10/2022,36
Tol Palimanan-Kanci,JAM,7/7/2022,15
Tol Palimanan-Kanci,WEATHERHAZARD,7/16/2022,26
Tol Palimanan-Kanci,WEATHERHAZARD,7/28/2022,6
Tol Palimanan-Kanci,WEATHERHAZARD,7/9/2022,29
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,59
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,59
Tol Palimanan-Kanci,WEATHERHAZARD,7/27/2022,59
Tol Palimanan-Kanci,WEATHERHAZARD,8/25/2022,58
Tol Palimanan-Kanci,WEATHERHAZARD,7/22/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,7/22/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,7/12/2022,48
Tol Palimanan-Kanci,WEATHERHAZARD,7/7/2022,36
Tol Palimanan-Kanci,WEATHERHAZARD,8/2/2022,36
Tol Palimanan-Kanci,WEATHERHAZARD,7/17/2022,31
Tol Palimanan-Kanci,WEATHERHAZARD,7/27/2022,26
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,60
Tol Palimanan-Kanci,ACCIDENT,8/24/2022,28
Tol Palimanan-Kanci,WEATHERHAZARD,8/8/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/8/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/8/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/8/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/8/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/8/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/8/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/8/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/8/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,8/8/2022,60
Tol Palimanan-Kanci,ACCIDENT,9/2/2022,50
Tol Palimanan-Kanci,WEATHERHAZARD,8/12/2022,59
Tol Palimanan-Kanci,WEATHERHAZARD,8/12/2022,59
Tol Palimanan-Kanci,WEATHERHAZARD,8/12/2022,59
Tol Palimanan-Kanci,WEATHERHAZARD,8/12/2022,105
Tol Palimanan-Kanci,WEATHERHAZARD,7/12/2022,59
Tol Palimanan-Kanci,ACCIDENT,9/2/2022,33
Tol Palimanan-Kanci,WEATHERHAZARD,7/27/2022,60
Tol Palimanan-Kanci,WEATHERHAZARD,7/27/2022,60
Tol Palimanan-Kanci,JAM,7/17/2022,2
Tol Palimanan-Kanci,WEATHERHAZARD,8/3/2022,57
Tol Palimanan-Kanci,WEATHERHAZARD,8/21/2022,10
Tol Palimanan-Kanci,JAM,7/9/2022,4
Tol Palimanan-Kanci,JAM,8/14/2022,7
Tuparev,JAM,7/7/2022,5
Tuparev,JAM,7/23/2022,18
Tuparev,JAM,7/7/2022,27
Tuparev,JAM,7/24/2022,10
Tuparev,JAM,7/31/2022,7
Tuparev,JAM,7/31/2022,25
Tuparev,JAM,7/17/2022,32
Tuparev,JAM,7/24/2022,21
Tuparev,JAM,7/23/2022,14
